,학교명,학교도로명 주소,폐교여부,new위도,new경도
271,충주금릉초등학교,충청북도 충주시 금봉대로 792,N,36.9946004,127.9304915
272,산남초등학교,충청북도 청주시 서원구 산남로 102,N,36.6117663,127.4622273
273,샛별초등학교,충청북도 청주시 서원구 원흥로 24,N,36.6089005,127.4715937
274,비봉초등학교,충청북도 청주시 청원구 오창읍 구룡2길 10,N,36.7128378,127.4130854
275,장야초등학교,충청북도 옥천군 옥천읍 장야3길 25,N,36.2970011,127.5800152
276,성화초등학교,충청북도 청주시 서원구 신화로 22,N,36.6160957,127.4554856
277,국원초등학교,충청북도 충주시 국원초1길 47,N,36.9811859,127.9445885
278,서현초등학교,충청북도 청주시 흥덕구 서현중로 7,N,36.6192671,127.4296618
279,직지초등학교,충청북도 청주시 흥덕구 공단로99번길 22,N,36.6398092,127.4378361
280,솔밭초등학교,충청북도 청주시 흥덕구 대농로 42,N,36.6415000,127.4263212
281,동성초등학교,충청북도 음성군 맹동면 학예로 50,N,36.9128617,127.5436663
282,양청초등학교,충청북도 청주시 청원구 오창읍 양청리,N,36.72271,127.426825
283,창리초등학교,충청북도 청주시 청원구 2산단2로 32,N,36.7366929,127.4488558
284,청주소로초등학교,충청북도 청주시 흥덕구 옥산면 오송가락로 1020,N,36.6724699,127.3904305
285,청주내곡초등학교,충청북도 청주시 흥덕구 송화로214번길 30,N,36.6669002,127.4570658
286,진천상신초등학교,충청북도 진천군 덕산읍 대월로 107,N,36.9034798,127.5396691
287,단재초등학교,충청북도 청주시 상당구 단재로 350,N,36.5992890,127.5001451
288,충주중앙탑초등학교,충청북도 충주시 중앙탑면 원앙4길 52,N,37.0158049,127.8312431
289,생명초등학교,충청북도 청주시 청원구 오창읍 중부로 772,N,36.7119416,127.4388804
290,충주대소원초등학교,충청북도 충주시 대소원면 첨단산업4로 48,N,36.9880820,127.8275390
291,오송솔미초등학교,충청북도 청주시 흥덕구 오송읍 오송생명12로 83,N,36.6236733,127.3154722
292,충주남한강초등학교,충청북도 충주시 호암수청2로 55,N,36.9551444,127.9292397
293,용아초등학교,충청북도 청주시 상당구 중고개로142번길 32-15,N,36.6182518,127.5227194
294,용원초등학교동락분교장,충청북도 충주시 신니면 신덕로 301,N,37.0034500,127.6861380
295,영춘초등학교별방분교장,충청북도 단양군 영춘면 별방창원로 449,N,37.0963571,128.4158125
296,판동초등학교송죽분교장,충청북도 보은군 삼승면 남부로 3927,N,36.4379566,127.7348414
