,학교명,위도,경도,학교도로명 주소,폐교여부
218,풍광초등학교,36.629482,127.435255,충청북도 청주시 흥덕구 풍산로47번길 58,N
219,한벌초등학교,36.6370857,127.474786,충청북도 청주시 서원구 흥덕로 16,N
220,한솔초등학교,36.624688,127.476939,충청북도 청주시 서원구 구룡산로 291,N
221,흥덕초등학교,36.645382,127.473113,충청북도 청주시 흥덕구 흥덕로 121,N
222,중앙탑초등학교,37.026885972,127.8553128858,충청북도 충주시 중앙탑면 첨단산업로 670,Y
223,가흥초등학교,37.0768332159,127.854254278,충청북도 충주시 중앙탑면 가곡로 2037,N
224,강천초등학교,37.1629594,127.7519787,충청북도 충주시 앙성면 학교말2길 50,Y
225,금가초등학교,37.0442533,127.9224257,충청북도 충주시 금가면 가마골길 16,N
226,남한강초등학교,36.9695819,127.9260686,충청북도 충주시 사직산6길 20,Y
227,노은초등학교,37.048517,127.7553,충청북도 충주시 노은면 연하중앙길 27,N
228,노은초등학교수상분교장,37.051467,127.71535,,Y
229,단월초등학교,36.9480855,127.899899,충청북도 충주시 신대2길 12,N
230,달천초등학교,36.963042,127.878919,충청북도 충주시 중원대로 3846,N
231,달천초등학교매현분교장,36.90811,127.870473,충청북도 충주시 대소원면 매현새터2길 10,N
232,대미초등학교,37.0338819132,127.9295603628,충청북도 충주시 동량면 대미길 62,N
233,대소원초등학교,36.9755821,127.8252688,충청북도 충주시 대소원면 대소새마을길 10,Y
234,덕신초등학교,36.9938372,127.7839348,충청북도 충주시 주덕읍 매남구술길 12,N
235,동락초등학교,37.002962,127.686128,충청북도 충주시 신니면 신덕로 301,Y
236,동량초등학교,37.027313106,127.9647462905,충청북도 충주시 동량면 대전조돈길 395,N
237,엄정초등학교목계분교장,,,,Y
238,목행초등학교,37.007828,127.918257,충청북도 충주시 목행초길 16,N
239,산척초등학교,37.079833,127.957688,충청북도 충주시 산척면 천등박달로 134,N
240,세성초등학교,36.9049854,127.9681946,충청북도 충주시 살미면 매남이길 31,N
241,소태초등학교,37.111074,127.846713,충청북도 충주시 소태면 쟁골2길 1,N
242,수안보초등학교,36.8449336,127.9993799,충청북도 충주시 수안보면 동진이1길 24,N
243,수회초등학교,36.8779046,127.9744198,충청북도 충주시 수안보면 수회리로 88,N
244,앙성초등학교,37.106415,127.758213,충청북도 충주시 앙성면 내용2길 38,N
245,야동초등학교,37.100013,127.877577,충청북도 충주시 소태면 구룡로 769,Y
246,엄정초등학교,37.087507,127.916138,충청북도 충주시 엄정면 내창로 199-5,N
247,연수초등학교,36.988052,127.938451,충청북도 충주시 번영대로 181,N
248,오석초등학교,36.9,127.9,충청북도 충주시 금가면 김생로 456,N
249,충주용산초등학교,36.9627616,127.9442947,충청북도 충주시 남산로 109,N
250,용원초등학교,36.9955727,127.7349253,충청북도 충주시 신니면 안용원로 6,N
251,주덕초등학교,36.976223,127.78716,충청북도 충주시 주덕읍 신중신촌2길 10,N
252,충주교현초등학교,36.974651,127.9365707,충청북도 충주시 교동2길 15,N
253,충주남산초등학교,36.9609899,127.9369396,충청북도 충주시 거룡2길 31,N
254,충주대림초등학교,36.968959,127.917735,충청북도 충주시 대림1길 28,N
255,충주삼원초등학교,36.9,127.9,충청북도 충주시 삼원로 128,N
256,충주성남초등학교,36.9665272,127.9415579,충청북도 충주시 염밭로 101,N
257,충주예성초등학교,36.9794003,127.9329334,충청북도 충주시 주봉1길 25,N
258,충주중앙초등학교,36.9842829,127.930421,충청북도 충주시 연원5길 19,N
259,칠금초등학교,36.9844305,127.9233841,충청북도 충주시 칠금18길 21,N
260,탄금초등학교,36.59,127.55,충청북도 충주시 우륵로 55,N
261,초강초등학교,36.2168702,127.7143535,충청북도 영동군 심천면 초강로 97,N
262,장락초등학교,37.1545904,128.2227875,충청북도 제천시 죽하로 25,N
263,죽림초등학교,36.612509,127.443073,충청북도 청주시 서원구 대림로 473,N
264,산성초등학교,36.633705,127.510861,충청북도 청주시 상당구 호미로 306,N
265,주중초등학교,36.6721422,127.4917183,충청북도 청주시 청원구 주성로 223,N
266,사천초등학교,36.670582,127.479921,충청북도 청주시 청원구 주성로 121,N
267,서경초등학교,36.6184262,127.4415668,충청북도 청주시 흥덕구 서경로 19,N
268,봉덕초등학교,36.652657,127.462313,충청북도 청주시 흥덕구 덕암로68번길 9,N
269,용성초등학교,36.6240737,127.5166875,충청북도 청주시 상당구 호미로 167,N
270,내토초등학교,37.1341112,128.2286987,충청북도 제천시 관전로 99,N
271,충주금릉초등학교,36.9946004,127.9304915,충청북도 충주시 금봉대로 792,N
272,산남초등학교,36.6116021,127.462314,충청북도 청주시 서원구 산남로 102,N
